Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),2110,2004,I (1995—2014),330000 км,3 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,100 000
ВАЗ (LADA),Granta,2023,I рестайлинг (2018—2023),10820 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Чёрный,Левый,XTA2*************,,845 000
ВАЗ (LADA),Priora,2010,I (2007—2013),162500 км,22 записи в отчёте Автотеки,Дубликат,3,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Норма,Хетчбек 5-дверный,Зелёный,Левый,XTA2*************,,319 000
ВАЗ (LADA),Largus,2013,I (2012—2023),180000 км,7 записей в отчёте Автотеки,,2,Не битый,1.6 MT (84 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Белый,Левый,XTAR*************,,700 000
ВАЗ (LADA),2114 Samara,2005,I (2001—2014),176583 км,Проверить в Автотеке,Оригинал,4+,Не битый,1.5 MT (77 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серый,Левый,XTA2*************,Не интересует,100 000
ВАЗ (LADA),Granta,2014,I (2011—2018),145000 км,6 записей в отчёте Автотеки,,3,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Седан,Серый,Левый,XTA2*************,Возможен,479 600
ВАЗ (LADA),Priora,2011,I (2007—2013),250000 км,12 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XTA2*************,Возможен,374 000
ВАЗ (LADA),Kalina,2018,II (2013—2018),68170 км,15 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Хетчбек 5-дверный,Серый,Левый,XTA2*************,,555 900
ВАЗ (LADA),Granta,2012,I (2011—2018),108351 км,9 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,XTA2*************,,350 000
ВАЗ (LADA),Granta,2023,I рестайлинг (2018—2023),678 км,Проверить в Автотеке,,1,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Comfort'22,Седан,Чёрный,Левый,XTA2*************,,969 990
ВАЗ (LADA),Largus,2013,I (2012—2023),159366 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (84 л.с.),1.6 л,Бензин,Механика,Передний,Norma 5 мест,Универсал,Бежевый,Левый,XTAK*************,Не интересует,820 000
ВАЗ (LADA),2105,2010,I (1980—2011),60000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (73 л.с.),1.6 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,100 000
ВАЗ (LADA),Vesta,2020,I (2015—2023),95000 км,Проверить в Автотеке,Электронный,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Белый,Левый,XTAG*************,Не интересует,967 000
ВАЗ (LADA),Granta,2023,I рестайлинг (2018—2023),7 км,Проверить в Автотеке,,1,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Classic Optima,Седан,Серебряный,Левый,XTA2*************,,949 900
ВАЗ (LADA),Kalina,2007,I (2004—2013),95117 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Красный,Левый,XTA1*************,Не интересует,210 000
ВАЗ (LADA),2114 Samara,2008,I (2001—2014),121550 км,4 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,220 000
ВАЗ (LADA),Priora,2012,I (2007—2013),200864 км,6 записей в отчёте Автотеки,,1,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,,350 000
ВАЗ (LADA),Vesta,2020,I (2015—2023),94000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Comfort Winter,Седан,Синий,Левый,XTAG*************,,1 199 000
ВАЗ (LADA),Granta,2019,I рестайлинг (2018—2023),42956 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Classic,Седан,Серебряный,Левый,XTA2*************,Не интересует,707 000
ВАЗ (LADA),2104,2011,I (1984—2012),78000 км,,Оригинал,1,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Универсал,Зелёный,Левый,XTA2*************,Не интересует,198 000
ВАЗ (LADA),Priora,2013,I рестайлинг (2013—2018),193000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Седан,Синий,Левый,XTA2*************,,458 000
ВАЗ (LADA),Kalina,2011,I (2004—2013),58419 км,2 записи в отчёте Автотеки,,2,Не битый,1.6 MT (84 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Серебряный,Левый,XTA1*************,Возможен,469 000
